"Node ID","Latency","Node Type","Node"
"2","4","NodeInput","Input(x)"
"3","10","NodeStreamOffset","stream offset: -1"
"5","9","NodeAdd","+"
"4","10","NodeStreamOffset","stream offset: 1"
"6","21","NodeAdd","+"
"8","33","NodeDiv","/"
"16","61","NodeOutput","Output(y)"
"19","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"21","4","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"24","0","NodeEq","=="
"22","1","NodeFlush","flush on trigger"
