"Node ID","Latency","Node Type","Node"
"2","4","NodeInput","Input(x)"
"5","4","NodeInput","Input(y)"
"26","9","NodeTriAdd","3 +"
"16","10","NodeOutput","Output(s)"
"19","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"21","4","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"24","0","NodeEq","=="
"22","1","NodeFlush","flush on trigger"
